language,BLEU
afr_Latn,0.47101007366302566
amh_Ethi,0.17932674770180623
bem_Latn,0.2913581380829263
cjk_Latn,0.2073300380772083
dik_Latn,0.3576105991685874
dyu_Latn,0.35082565221267586
eng_Latn,0.5434511308445616
ewe_Latn,0.3640836380252784
fuv_Latn,0.5730472854803814
hau_Latn,0.4822489701328152
ibo_Latn,0.4103890442450277
kab_Latn,0.26218070698590984
kam_Latn,0.3351481395075817
kik_Latn,0.3109594532894234
kin_Latn,0.31616157231790804
kmb_Latn,0.4653731391719726
kon_Latn,0.5015178854905544
lin_Latn,0.4484610358825763
lua_Latn,0.37611588270340535
lug_Latn,0.3413538789328349
yor_Latn,0.42035298946809097
Overall,0.39801609488366313
