language,CIDEr
afr_Latn,4.483662890061849
amh_Ethi,1.7498922753524284
bem_Latn,2.70379657539706
cjk_Latn,1.7889815611297293
dik_Latn,2.8225296508898254
dyu_Latn,2.9130929423699112
eng_Latn,5.065805936390569
ewe_Latn,2.939802192737707
fuv_Latn,3.7327010932841063
hau_Latn,4.264871369023148
ibo_Latn,3.9086346024470893
kab_Latn,2.297009302551134
kam_Latn,2.8172276121954116
kik_Latn,2.6262275300849915
kin_Latn,3.3321714941525427
kmb_Latn,4.020989954469889
kon_Latn,4.412882086258177
lin_Latn,3.8785679248371094
lua_Latn,3.328878012688267
lug_Latn,3.428048553738703
yor_Latn,3.704024015822318
Overall,3.651639575201503
