language,BLEU
Afrikaans,1.4845271270636714e-06
Amharic,0.0
Bemba,0.0
Chokwe,7.128185752341542e-06
Dinka,6.739492105661195e-06
Dyula,5.589710123219233e-06
English,5.8215395241456484e-05
Ewe,1.6261609556488615e-06
Fulfulde,2.952445951924712e-06
Hausa,1.0821220617369695e-05
Igbo,1.429891285097198e-06
Kabyle,0.0
Kamba,7.718331135668232e-06
Kikuyu,0.0
Kimbundu,7.599226934864994e-06
Kinyarwanda,0.0
Kongo,2.917158977363026e-06
Lingala,2.5798555384634608e-06
Luba-Kasai,3.2822335588376657e-06
Luganda,0.0
Yoruba,0.0
Overall,3.6892958874192267e-06
