language,CIDEr
Afrikaans,0.017724993399826923
Amharic,0.015236583138665735
Bemba,0.019262458225779763
Chokwe,0.018475592581805735
Dinka,0.018166409992790795
Dyula,0.01743243308180271
English,0.019747459388665036
Ewe,0.01618983412770372
"Fulfulde, Nigerian",0.017538790511511353
Hausa,0.019007515153673556
Igbo,0.01829643910429214
Kabyle,0.01714493259144736
Kamba,0.017513748247076386
Kikuyu,0.017721636419858633
Kimbundu,0.019329276531653172
Kinyarwanda,0.015017144735854717
Kongo,0.01904309988562579
Lingala,0.01812189671180792
Luba-Kasai,0.018017297915921424
Luganda,0.017715566669558536
Yoruba,0.015132908406319397
Overall,0.0173175542328834
