language,SPICE
Afrikaans,0.005873762189651781
Amharic,0.00547214620418659
Bemba,0.005914869635212481
Chokwe,0.005885005868833352
Dinka,0.005484494474384904
Dyula,0.0055140898089006815
English,0.0056868317800710345
Ewe,0.005473486042954341
"Fulfulde, Nigerian",0.005639263781272641
Hausa,0.005717743285801362
Igbo,0.006083209260262722
Kabyle,0.005264773274963832
Kamba,0.0053241649406416
Kikuyu,0.005874773671561173
Kimbundu,0.006158481031089854
Kinyarwanda,0.0048197023822541514
Kongo,0.006095745823200796
Lingala,0.005790417737095976
Luba-Kasai,0.005756295937687442
Luganda,0.0057282531572212
Yoruba,0.005335298814466723
Overall,0.005655194381301773
